,Series,Key,Description
81,SBN2024,PDMEFHLMCNONUMBS15-OUTT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT"
82,SBN2024,PDMEFNMAFHLMC15-DRT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL"
83,SBN2024,PDMEFNMAFHLMC15-OUTT,"Total - MONTH-END, 15-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT"
84,SBN2024,PDMEFHLMCNONUMBS-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO DELIVER"
85,SBN2024,PDMEFHLMCNONUMBS-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FHLMC (NON-UMBS) FAILS TO RECEIVE"
86,SBN2024,PDMEFNMAFHLMC-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO DELIVER"
87,SBN2024,PDMEFNMAFHLMC-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: FNMA/FHLMC UMBS FAILS TO RECEIVE"
88,SBN2024,PDMEGNMA-FDT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER"
89,SBN2024,PDMEGNMA-FRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS FAILS: GNMA FAILS TO DELIVER"
90,SBN2024,PDMEFHLMCNONUMBS-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) DOLLAR ROLL"
91,SBN2024,PDMEFHLMCNONUMBS-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FHLMC (NON-UMBS) OUTRIGHT"
92,SBN2024,PDMEFNMAFHLMC-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS DOLLAR ROLL"
93,SBN2024,PDMEFNMAFHLMC-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: FNMA/FHLMC UMBS OUTRIGHT"
94,SBN2024,PDMEGNMA-DRT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL"
95,SBN2024,PDMEGNMA-OUTT,"Total - MONTH-END, 30-YEAR FEDERAL AGENCY AND GSE PASS-THROUGH MBS TRANSACTION VOLUMES: GNMA DOLLAR ROLL"
96,SBN2024,PDPOSMBSFGS-TBA," Mortgage-backed Securities: Federal Agency and GSE MBS: TBAs - Outright Positions, Long - Mortgage-backed Securities: Federal Agency and GSE MBS: TBAs - Outright Positions, Short"
97,SBN2024,PDPOSCSBND-L13,"CORPORATE SECURITIES: INVESTMENT GRADE BONDS, NOTES AND DEBENTURES DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - LONG. - CORPORATE SECURITIES: INVESTMENT GRADE BONDS, NOTES AND DEBENTURES DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - SHORT."
98,SBN2024,PDPOSABS-ALB,ASSET-BACKED SECURITIES: AUTOMOBILE LOAN-BACKED SECURITIES: DEALER POSITION - LONG. - ASSET-BACKED SECURITIES: AUTOMOBILE LOAN-BACKED SECURITIES: DEALER POSITION - SHORT.
99,SBN2024,PDPOSABS-CCB,ASSET-BACKED SECURITIES: CREDIT CARD-BACKED SECURITIES: DEALER POSITION - LONG. - ASSET-BACKED SECURITIES: CREDIT CARD-BACKED SECURITIES: DEALER POSITION - SHORT.
100,SBN2024,PDPOSABS-OAB,ASSET-BACKED SECURITIES: OTHER ASSET-BACKED SECURITIES: DEALER POSITION - LONG. - ASSET-BACKED SECURITIES: OTHER ASSET-BACKED SECURITIES: DEALER POSITION - SHORT.
101,SBN2024,PDPOSABS-SLB,ASSET-BACKED SECURITIES: STUDENT LOAN-BACKED SECURITIES: DEALER POSITION - LONG. - ASSET-BACKED SECURITIES: STUDENT LOAN-BACKED SECURITIES IN SHORT POSITION.
102,SBN2024,PDPOSCSBND-BELG10,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION -SHORT.
103,SBN2024,PDPOSCSBND-BELG13,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION -LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION -SHORT.
104,SBN2024,PDPOSCSBND-BELG5L10,CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION -SHORT.
105,SBN2024,PDPOSCSBND-BELL13,CORPORATE SECURITIES BELOW INVESTMENT GRADE DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - LONG. - CORPORATE SECURITIES BELOW INVESTMENT GRADE DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - SHORT.
106,SBN2024,PDPOSCSBND-G10,CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 10 YEARS: DEALER POSITION - SHORT.
107,SBN2024,PDPOSCSBND-G5L10,CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION -SHORT.
108,SBN2024,PDPOSCSCP,CORPORATE SECURITIES: COMMERCIAL PAPER: DEALER POSITION - LONG. - CORPORATE SECURITIES: COMMERCIAL PAPER: DEALER POSITION - SHORT.
109,SBN2024,PDPOSCSBND-G13,CORPORATE SECURITIES: INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - LONG. - CORPORATE SECURITIES INVESTMENT GRADE BONDS NOTES AND DEBENTURES DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - SHORT.
110,SBN2024,PDPOSFGS-C,FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - COUPONS: DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - COUPONS : DEALER POSITION - SHORT
111,SBN2024,PDPOSFGS-DN,FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - DISCOUNT NOTES: DEALER POSITION - LONG - FEDERAL AGENCY AND GSE SECURITIES (EXCLUDING MBS) - DISCOUNT NOTES: DEALER POSITION - SHORT
112,SBN2024,PDPOSGS-BFRN,FLOATING RATE NOTES: DEALER POSITION - LONG. - FLOATING RATE NOTES: DEALER POSITION - SHORT.
113,SBN2024,PDPOSMBSFGS-OR,MORTGAGE-BACKED SECURITIES - ALL OTHER FEDERAL AGENCY AND GSE RESIDENTIAL MBS: DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES - ALL OTHER FEDERAL AGENCY AND GSE RESIDENTIAL MBS: DEALER POSITION - SHORT
114,SBN2024,PDPOSMBSFGS-C,MORTGAGE-BACKED SECURITIES - FEDERAL AGENCY AND GSE CMBS: DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES - FEDERAL AGENCY AND GSE CMBS: DEALER POSITION - SHORT
115,SBN2024,PDPOSMBSNA-O,MORTGAGE-BACKED SECURITIES - NON-AGENCY OTHER CMBS : DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES - NON-AGENCY OTHER CMBS : DEALER POSITION - SHORT
116,SBN2024,PDPOSMBSNA-R,MORTGAGE-BACKED SECURITIES - NON-AGENCY RESIDENTIAL MBS : DEALER POSITION - LONG - MORTGAGE-BACKED SECURITIES - NON-AGENCY RESIDENTIAL MBS : DEALER POSITION - SHORT
117,SBN2024,PDPOSMBSFGS-ST,"Mortgage-backed Securities: Federal Agency and GSE MBS: Specified pools - Outright Positions, Long - Mortgage-backed Securities: Federal Agency and GSE MBS: Specified pools - Outright Positions, Short"
118,SBN2024,PDPOSSMGO-L13,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN LESS THAN OR EQUAL TO 13 MONTHS: DEALER POSITION - SHORT.
119,SBN2024,PDPOSSMGO-G10,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 10 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 10 YEARS: DEALER POSITION - SHORT.
120,SBN2024,PDPOSSMGO-G13,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 13 MONTHS BUT LESS THAN OR EQUAL TO 5 YEARS: DEALER POSITION - SHORT.
121,SBN2024,PDPOSSMGO-G5L10,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS DUE IN MORE THAN 5 YEARS BUT LESS THAN OR EQUAL TO 10 YEARS: DEALER POSITION - SHORT.
122,SBN2024,PDPOSSMGO-VRD,STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS VARIABLE RATE DEMAND NOTES: DEALER POSITION - LONG. - STATE AND MUNICIPAL GOVERNMENT OBLIGATIONS VARIABLE RATE DEMAND NOTES: DEALER POSITION - SHORT.
123,SBN2024,PDPOSTIPS-L2,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN LESS THAN OR EQUAL TO 2 YEARS : DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN LESS THAN OR EQUAL TO 2 YEARS : DEALER POSITION - SHORT.
124,SBN2024,PDPOSTIPS-G11,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 11 YEARS : DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 11 YEARS : DEALER POSITION - SHORT.
125,SBN2024,PDPOSTIPS-G2,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 2 YEARS BUT LESS THAN OR EQUAL TO 6 YEARS : DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 2 YEARS BUT LESS THAN OR EQUAL TO 6 YEARS : DEALER POSITION - SHORT.
126,SBN2024,PDPOSTIPS-G6L11,U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 6 YEARS BUT LESS THAN OR EQUAL TO 11 YEARS : DEALER POSITION - LONG. - U.S. TREASURY INFLATION-PROTECTED SECURITIES (TIPS) DUE IN MORE THAN 6 YEARS BUT LESS THAN OR EQUAL TO 11 YEARS : DEALER POSITION - SHORT.
127,SBN2024,PDPOSGSC-G11L21,U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 11 YEARS BUT LESS THAN OR EQUAL TO 21 YEARS - OUTRIGHT POSITIONS LONG - U.S. TREASURY SECURITIES (EXCLUDING TIPS): COUPONS DUE IN MORE THAN 11 YEARS BUT LESS THAN OR EQUAL TO 21 YEARS - OUTRIGHT POSITIONS SHORT
